system_id,row_kind,family,group_id,role,n,p,q,k,total_budget,stack_rank,target_rank,amount_signature,local_exact_all,invariant_exact,exact_stack,rank_lb_satisfied,null_intersection_dim,rowspace_residual,collision_gap,collision_gap_mode,cid,context_gap,agreement_basis_dim,lift_rank,lift_residual,delta_free,delta_c,library_rank_gain,library_full_feasible,restricted_aug_found,restricted_aug_rows,descriptor_dfmi,descriptor_idelb,descriptor_cl,notes
inv_10,system,context_pair,pair_1,same_amount_exact,7,2,1,3,6,2,1,n7|p2|q1|k3|b6|r2,1,1,1,1,5,2.856532861421314e-15,2.856532861421314e-15,proxy_rowspace_residual,1.1102230246251565e-15,0,2,2,3.1401849173675502e-15,0,0,0,0,0,,,,,descriptor pair exact
inv_11,system,context_pair,pair_1,same_amount_fail,7,2,1,3,6,4,1,n7|p2|q1|k3|b6|r4,1,0,1,1,3,9.586980325995244e-16,9.586980325995244e-16,proxy_rowspace_residual,2.7416097985507797,1,0,0,inf,1,1,0,0,0,,,,,descriptor pair fail
inv_12,system,context_pair,pair_2,same_amount_exact,8,2,1,4,8,2,1,n8|p2|q1|k4|b8|r2,1,1,1,1,6,6.843874359417885e-16,6.843874359417885e-16,proxy_rowspace_residual,0.0,0,2,2,2.220446049250313e-15,0,0,0,0,0,,,,,descriptor pair exact
inv_13,system,context_pair,pair_2,same_amount_fail,8,2,1,4,8,5,1,n8|p2|q1|k4|b8|r5,1,0,1,1,3,2.2009313928704765e-15,2.2009313928704765e-15,proxy_rowspace_residual,4.35695228299937,1,0,0,inf,1,1,0,0,0,,,,,descriptor pair fail
inv_14,system,context_pair,pair_3,same_amount_exact,9,2,1,4,8,2,1,n9|p2|q1|k4|b8|r2,1,1,1,1,7,2.144196810752504e-15,2.144196810752504e-15,proxy_rowspace_residual,1.368774871883577e-15,0,2,2,1.4895204919483639e-15,0,0,0,0,0,,,,,descriptor pair exact
inv_15,system,context_pair,pair_3,same_amount_fail,9,2,1,4,8,5,1,n9|p2|q1|k4|b8|r5,1,0,1,1,4,5.71852429248294e-15,5.71852429248294e-15,proxy_rowspace_residual,5.18427369375459,1,0,0,inf,1,1,0,0,0,,,,,descriptor pair fail
inv_16,system,same_rank_single_context,sr_5_2_3,same_rank_exact,5,3,2,1,3,3,2,n5|p3|q2|k1|b3|r3,1,1,1,1,2,0.0,0.0,exact_low_null_dim,0.0,0,3,3,0.0,0,0,0,0,0,,,,,canonical same-rank witness
inv_17,system,same_rank_single_context,sr_5_2_3,same_rank_fail,5,3,2,1,3,3,2,n5|p3|q2|k1|b3|r3,0,0,0,1,2,1.0,2.0,exact_low_null_dim,1.0,0,3,3,inf,1,1,0,0,0,,,,,canonical same-rank witness
inv_18,system,same_rank_single_context,sr_5_3_4,same_rank_exact,5,4,3,1,4,4,3,n5|p4|q3|k1|b4|r4,1,1,1,1,1,0.0,0.0,exact_low_null_dim,0.0,0,4,4,0.0,0,0,0,0,0,,,,,canonical same-rank witness
inv_19,system,same_rank_single_context,sr_5_3_4,same_rank_fail,5,4,3,1,4,4,3,n5|p4|q3|k1|b4|r4,0,0,0,1,1,1.0,2.0,exact_low_null_dim,1.0,0,4,4,inf,1,1,0,0,0,,,,,canonical same-rank witness
inv_20,system,same_rank_single_context,sr_6_2_3,same_rank_exact,6,3,2,1,3,3,2,n6|p3|q2|k1|b3|r3,1,1,1,1,3,0.0,0.0,proxy_rowspace_residual,0.0,0,3,3,0.0,0,0,0,0,0,,,,,canonical same-rank witness
inv_21,system,same_rank_single_context,sr_6_2_3,same_rank_fail,6,3,2,1,3,3,2,n6|p3|q2|k1|b3|r3,0,0,0,1,3,1.0,2.0,proxy_rowspace_residual,1.0,0,3,3,inf,1,1,0,0,0,,,,,canonical same-rank witness
inv_22,system,same_rank_single_context,sr_6_3_4,same_rank_exact,6,4,3,1,4,4,3,n6|p4|q3|k1|b4|r4,1,1,1,1,2,0.0,0.0,exact_low_null_dim,0.0,0,4,4,0.0,0,0,0,0,0,,,,,canonical same-rank witness
inv_23,system,same_rank_single_context,sr_6_3_4,same_rank_fail,6,4,3,1,4,4,3,n6|p4|q3|k1|b4|r4,0,0,0,1,2,1.0,2.0,exact_low_null_dim,1.0,0,4,4,inf,1,1,0,0,0,,,,,canonical same-rank witness
inv_24,system,same_rank_single_context,sr_7_2_3,same_rank_exact,7,3,2,1,3,3,2,n7|p3|q2|k1|b3|r3,1,1,1,1,4,0.0,0.0,proxy_rowspace_residual,0.0,0,3,3,0.0,0,0,0,0,0,,,,,canonical same-rank witness
inv_25,system,same_rank_single_context,sr_7_2_3,same_rank_fail,7,3,2,1,3,3,2,n7|p3|q2|k1|b3|r3,0,0,0,1,4,1.0,2.0,proxy_rowspace_residual,1.0,0,3,3,inf,1,1,0,0,0,,,,,canonical same-rank witness
inv_26,system,same_rank_single_context,sr_7_3_4,same_rank_exact,7,4,3,1,4,4,3,n7|p4|q3|k1|b4|r4,1,1,1,1,3,0.0,0.0,proxy_rowspace_residual,0.0,0,4,4,0.0,0,0,0,0,0,,,,,canonical same-rank witness
inv_27,system,same_rank_single_context,sr_7_3_4,same_rank_fail,7,4,3,1,4,4,3,n7|p4|q3|k1|b4|r4,0,0,0,1,3,1.0,2.0,proxy_rowspace_residual,1.0,0,4,4,inf,1,1,0,0,0,,,,,canonical same-rank witness
inv_28,system,same_rank_single_context,sr_8_2_3,same_rank_exact,8,3,2,1,3,3,2,n8|p3|q2|k1|b3|r3,1,1,1,1,5,0.0,0.0,proxy_rowspace_residual,0.0,0,3,3,0.0,0,0,0,0,0,,,,,canonical same-rank witness
inv_29,system,same_rank_single_context,sr_8_2_3,same_rank_fail,8,3,2,1,3,3,2,n8|p3|q2|k1|b3|r3,0,0,0,1,5,1.0,2.0,proxy_rowspace_residual,1.0,0,3,3,inf,1,1,0,0,0,,,,,canonical same-rank witness
inv_30,system,same_rank_single_context,sr_8_3_4,same_rank_exact,8,4,3,1,4,4,3,n8|p4|q3|k1|b4|r4,1,1,1,1,4,0.0,0.0,proxy_rowspace_residual,0.0,0,4,4,0.0,0,0,0,0,0,,,,,canonical same-rank witness
inv_31,system,same_rank_single_context,sr_8_3_4,same_rank_fail,8,4,3,1,4,4,3,n8|p4|q3|k1|b4|r4,0,0,0,1,4,1.0,2.0,proxy_rowspace_residual,1.0,0,4,4,inf,1,1,0,0,0,,,,,canonical same-rank witness
meta_amount,meta_descriptor,descriptor_fiber,,amount_only,,,,,,,,meta,,,,,,,,,,,,,,,,,,,,0.34782608695652173,0.25,0.0,descriptor-fiber meta invariant
meta_lift,meta_descriptor,descriptor_fiber,,amount_plus_lift,,,,,,,,meta,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.25,descriptor-fiber meta invariant
