witness_id,domain,system_family,dimension,measurement_count,context_count,target,descriptor_signature,record_model,conditioned_exact,invariant_exact,exact_recoverable,shared_aug_threshold,augmentation_restores,dls,target_fi_mean,target_fi_min,global_info_proxy,robustness_fraction,status_label,novelty_hint,notes
QW014,"I,E,B",qubit_dephasing_phase_target,2,1,1,sign(cos(phi)),dim2|m1|ctx1|target_phase_sign|dephase_sweep,X basis after dephasing p=0.250,1,1,1,,0,0.0,0.2,0.2,1.0,1.0,PROVED ON SUPPORTED FAMILY,ALREADY KNOWN IN SUBSTANCE,local recoverability degrades continuously; threshold collapse at p=0.5
QW015,"I,E,B",qubit_dephasing_phase_target,2,1,1,sign(cos(phi)),dim2|m1|ctx1|target_phase_sign|dephase_sweep,X basis after dephasing p=0.333,1,1,1,,0,0.0,0.0857142857,0.0857142857,1.0,1.0,PROVED ON SUPPORTED FAMILY,ALREADY KNOWN IN SUBSTANCE,local recoverability degrades continuously; threshold collapse at p=0.5
QW016,"I,E,B",qubit_dephasing_phase_target,2,1,1,sign(cos(phi)),dim2|m1|ctx1|target_phase_sign|dephase_sweep,X basis after dephasing p=0.417,1,1,1,,0,0.0,0.020979021,0.020979021,1.0,1.0,PROVED ON SUPPORTED FAMILY,ALREADY KNOWN IN SUBSTANCE,local recoverability degrades continuously; threshold collapse at p=0.5
QW017,"I,E,B",qubit_dephasing_phase_target,2,1,1,sign(cos(phi)),dim2|m1|ctx1|target_phase_sign|dephase_sweep,X basis after dephasing p=0.500,0,0,0,,0,1.0,0.0,0.0,1.0,0.0,PROVED ON SUPPORTED FAMILY,ALREADY KNOWN IN SUBSTANCE,local recoverability degrades continuously; threshold collapse at p=0.5
QW018,"D,C",three_qubit_bitflip_qec_anchor,8,4,4,logical_qubit_sector,dim8|m4|ctx4|target_logical_sector,syndrome sector decomposition for I/X1/X2/X3,1,1,1,0,0,0.0,,,36.8413614879,1.0,PROVED ON SUPPORTED FAMILY,ALREADY KNOWN IN SUBSTANCE,QEC exact anchor; included to separate known anchor from new packaging
QW019,"E,G",qubit_fisher_design_split,2,1,1,phase_phi_local,dim2|m1|ctx1|target_phase_local,Z_vs_X phase FI at phi=0.200,,,1,,0,,0.5,0.0,1.0,1.0,VALIDATED / EMPIRICAL ONLY,CLOSE PRIOR ART / REPACKAGED,"same-count design split: FI_Z=0.000000, FI_X=1.000000"
QW020,"E,G",qubit_fisher_design_split,2,1,1,phase_phi_local,dim2|m1|ctx1|target_phase_local,Z_vs_X phase FI at phi=0.748,,,1,,0,,0.5,0.0,1.0,1.0,VALIDATED / EMPIRICAL ONLY,CLOSE PRIOR ART / REPACKAGED,"same-count design split: FI_Z=0.000000, FI_X=1.000000"
QW021,"E,G",qubit_fisher_design_split,2,1,1,phase_phi_local,dim2|m1|ctx1|target_phase_local,Z_vs_X phase FI at phi=1.297,,,1,,0,,0.5,0.0,1.0,1.0,VALIDATED / EMPIRICAL ONLY,CLOSE PRIOR ART / REPACKAGED,"same-count design split: FI_Z=0.000000, FI_X=1.000000"
QW022,"E,G",qubit_fisher_design_split,2,1,1,phase_phi_local,dim2|m1|ctx1|target_phase_local,Z_vs_X phase FI at phi=1.845,,,1,,0,,0.5,0.0,1.0,1.0,VALIDATED / EMPIRICAL ONLY,CLOSE PRIOR ART / REPACKAGED,"same-count design split: FI_Z=0.000000, FI_X=1.000000"
QW023,"E,G",qubit_fisher_design_split,2,1,1,phase_phi_local,dim2|m1|ctx1|target_phase_local,Z_vs_X phase FI at phi=2.393,,,1,,0,,0.5,0.0,1.0,1.0,VALIDATED / EMPIRICAL ONLY,CLOSE PRIOR ART / REPACKAGED,"same-count design split: FI_Z=0.000000, FI_X=1.000000"
QW024,"E,G",qubit_fisher_design_split,2,1,1,phase_phi_local,dim2|m1|ctx1|target_phase_local,Z_vs_X phase FI at phi=2.942,,,1,,0,,0.5,0.0,1.0,1.0,VALIDATED / EMPIRICAL ONLY,CLOSE PRIOR ART / REPACKAGED,"same-count design split: FI_Z=0.000000, FI_X=1.000000"
