claim_id,source_program,claim_name,statement,status_label,scope_note,evidence_ref,object_family,theorem_role,novelty_position
META-BRANCH,meta,branch-limited strengthening,"Family enlargement fragility, model mismatch instability, and anti-classifier theorems are branch-limited strengthening packages.",VALIDATED,VALIDATED,internal_docs/meta_theory_internal_master_report_2026-04-17.md,amount_no_go,useful and mathematically promotable,plausibly distinct (restricted)
META-UC1,meta,universal recoverability core,Exact recoverability is factorization/fiber constancy on declared admissible family.,PROVED,PROVED,internal_docs/unifying_theory_master_internal_report_2026-04-17.md,fiber_factorization,already part of positive theory,repo-new only / scoped
META-UC2,meta,collision no-go core,Collision with target variation implies impossibility on declared admissible family.,PROVED,PROVED,internal_docs/unifying_theory_master_internal_report_2026-04-17.md,other,already part of negative theory,repo-new only / scoped
MHD-B1,mhd,MHD-B1,Topological Adam is a useful bridge application of the structure,CONDITIONAL,EXPERIMENTAL,sibling repo diagnostics; `docs/discoveries/topological_adam_bridge.md`,other,useful and mathematically promotable,open
MHD-O1,mhd,MHD-O1,"nonconstant `eta(r)` breaks smooth exactness for `alpha = f(r), beta = r*theta`, but annular exactness survives for `f(r) = a*sqrt(r) + b`",PROVED,THEOREM,"explicit residual formula + solved ODE + symbolic verification; `mhd_toolkit/research/symbolic_closures.py`, `docs/discoveries/annular_variable_resistivity_exact_families.md`",other,useful and mathematically promotable,repo-new only / scoped
MHD-O2,mhd,MHD-O2,"nonconstant `eta(r)` breaks smooth exactness for `alpha = f(r), beta = z`, but annular exactness survives for `f(r) = a*log(r) + b`",PROVED,THEOREM,explicit residual formula + solved ODE + symbolic verification; same,other,useful and mathematically promotable,repo-new only / scoped
MHD-O3,mhd,MHD-O3,"nonconstant `eta(r)` leaves only trivial constant-`g` survivors in `alpha = r*theta, beta = g(z)`",PROVED,THEOREM,explicit residual formula + symbolic verification; same,other,useful and mathematically promotable,repo-new only / scoped
MHD-T1,mhd,MHD-T1,"`alpha = f(r), beta = r*theta` is exact for constant `eta`",PROVED,THEOREM,"direct derivation + symbolic verification; `mhd_toolkit/research/symbolic_closures.py`, `docs/derivations/cylindrical_exact_families.md`",other,useful and mathematically promotable,repo-new only / scoped
MHD-T2,mhd,MHD-T2,"`alpha = f(r), beta = z` is exact for constant `eta`",PROVED,THEOREM,direct derivation + symbolic verification; same,other,useful and mathematically promotable,repo-new only / scoped
MHD-T3,mhd,MHD-T3,"`alpha = r*theta, beta = g(z)` is exact for constant `eta`",PROVED,THEOREM,direct derivation + symbolic verification; same,other,useful and mathematically promotable,repo-new only / scoped
MHD-T4,mhd,MHD-T4,"`alpha = f(r), beta = theta` is exact iff `f(r) = a*r^2 + b`",PROVED,THEOREM,residual formula solved directly; same,other,useful and mathematically promotable,repo-new only / scoped
MHD-XG1,mhd,MHD-XG1,local toroidal shear deformation `q=q0+kappa*r` yields explicit obstruction term `R_z = a*(kappa*r^2*eta' + 2*q0*r*eta' + 4*q0*eta)/r^4`,PROVED,THEOREM (local),"direct symbolic derivation + tests; `mhd_toolkit/research/expansion_lanes.py`, `docs/theorems/toroidal-and-geometry-obstructions.md`",closure_obstruction,already part of positive theory,repo-new only / scoped
MHD-XP1,mhd,MHD-XP1,first-order `eta`-perturbation defect formulas around exact base families are explicit and computable,PROVED,THEOREM (perturbative),"symbolic derivative formulas + regression tests; `mhd_toolkit/research/expansion_lanes.py`, `docs/theorems/approximate-and-perturbative-closure.md`",other,useful and mathematically promotable,repo-new only / scoped
MHD-XP2,mhd,MHD-XP2,sheet-like coefficient profiles produce closure-defect localization and `max,CONDITIONAL,R,~ eps/delta` scaling in benchmark family; VALIDATED,closure_obstruction,useful and mathematically promotable,open
MHD-XT1,mhd,MHD-XT1,"for `alpha=f(r), beta=z+q(r)*theta` and constant `eta`, exactness is equivalent to `(r*f''-f')*(r*q'-q)=0`",PROVED,THEOREM,"direct symbolic factorization + unit tests; `mhd_toolkit/research/expansion_lanes.py`, `tests/test_expansion_lanes.py`, `docs/theorems/tokamak-and-reduced-mhd-lane.md`",other,useful and mathematically promotable,repo-new only / scoped
MHD-XT2,mhd,MHD-XT2,"for variable `eta(r)`, the annular mixed branch `f(r)=a*log(r)+b` is exact iff `q` solves `(r^2 eta' + 4 r eta) q' = (2 r eta' + 4 eta) q`",PROVED,THEOREM (restricted),symbolic derivation + explicit power-law exact branch check; same,other,useful and mathematically promotable,plausibly distinct (restricted)
OCP-001,ocp,Formal OCP tuple,An OCP system can be formalized as a protected/disturbance/correction tuple with exact and asymptotic branches.,PROVED,PROVED,docs/formalism/formal-theory.md,other,useful and mathematically promotable,plausibly distinct (restricted)
OCP-002,ocp,Exact orthogonal projection theorem,"If H = S ⊕ D with S orthogonal to D, orthogonal projection onto S exactly recovers the protected component of any state s+d.",PROVED,PROVED,docs/theorem-candidates/central-theorem.md; tests/math/test_core_projectors.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-003,ocp,Indistinguishability no-go,"If S ∩ D is nontrivial, no single-valued recovery map can recover s from x=s+d for all s in S and d in D.",PROVED,PROVED,docs/impossibility-results/no-go-results.md,other,useful and mathematically promotable,repo-new only / scoped
OCP-004,ocp,Continuous damping theorem,The flow xdot = -k P_D x leaves S fixed and exponentially suppresses D.,PROVED,PROVED,docs/theorem-candidates/backup-theorems.md; tests/math/test_core_projectors.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-005,ocp,QEC exact anchor,Knill-Laflamme style exact correction fits OCP when syndrome sectors are orthogonal and recoverable.,CONDITIONAL,CONDITIONAL,docs/qec/qec-in-ocp.md; tests/math/test_qec_knill_laflamme.py,other,useful and mathematically promotable,open
OCP-006,ocp,Helmholtz/Leray exact continuous anchor,Periodic Helmholtz projection gives an exact OCP recovery operator for divergence-free fields under additive gradient contamination.,PROVED,PROVED,docs/mhd/divergence-cleaning-in-ocp.md; tests/math/test_mhd_projection.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-007,ocp,GLM as asymptotic OCP,GLM divergence cleaning fits OCP as an asymptotic correction architecture rather than an exact projector.,CONDITIONAL,CONDITIONAL,docs/mhd/glm-and-asymptotic-correction.md; tests/examples/test_glm_decay.py,other,useful and mathematically promotable,open
OCP-008,ocp,Control-theoretic instantiation,Observer/controller designs instantiate OCP when the protected/disturbance split is invariant and feedback acts only on disturbance coordinates.,CONDITIONAL,CONDITIONAL,docs/control/control-extension.md,other,useful and mathematically promotable,open
OCP-009,ocp,Universal scalar correction capacity,"There exists one scalar correction-capacity number that nontrivially classifies QEC, MHD projection, GLM, and control architectures.",OPEN,OPEN,NOVELTY_AND_LIMITS.md; docs/impossibility-results/no-go-results.md,capacity_quantification,useful and mathematically promotable,open
OCP-010,ocp,Topological Adam / ML extension,Current optimizer work is a genuine OCP instantiation rather than a loose bridge.,ANALOGY ONLY,ANALOGY ONLY,docs/disproven-or-weak/weak-extensions.md,other,useful but only as language,open
OCP-011,ocp,Engineering design value,OCP yields practical design rules for building correction operators and recognizing when a correction architecture is underpowered.,CONDITIONAL,CONDITIONAL,docs/applications/practical-use-cases.md,engineering_layer,useful and mathematically promotable,open
OCP-012,ocp,Exact-to-asymptotic bridge,OCP gives a meaningful bridge between discrete exact correction and continuous asymptotic correction.,CONDITIONAL,CONDITIONAL,docs/formalism/exact-vs-asymptotic.md,other,useful and mathematically promotable,open
OCP-013,ocp,Invariant-split generator theorem,"If K annihilates S, preserves D, and its restriction to D is exponentially stable, then the flow xdot=-Kx preserves S and asymptotically suppresses D.",PROVED,PROVED,docs/theorem-candidates/generator-theorems.md; tests/math/test_continuous_generators.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-014,ocp,Self-adjoint PSD corollary,"If K is self-adjoint positive semidefinite with ker(K)=S and spectral gap lambda_*>0 on S^perp, then ||e^{-tK}x-P_S x|| <= e^{-lambda_* t}||P_D x||.",PROVED,PROVED,docs/theorem-candidates/generator-theorems.md; tests/math/test_continuous_generators.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-015,ocp,Mixing no-go for linear flows,"If P_S K P_D is nonzero, then disturbances generically leak into the protected coordinates and the flow is not an OCP correction flow preserving S pointwise.",PROVED,PROVED,docs/impossibility-results/no-go-results.md; tests/math/test_continuous_generators.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-016,ocp,Exact correction rank lower bound,"For an exact linear recovery on V = S ⊕ D with correction operator C = I - R, one must have rank(C) >= dim(D) and rank(R) >= dim(S).",PROVED,PROVED,docs/theorem-candidates/capacity-theorems.md; tests/math/test_capacity.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-017,ocp,Sector distinguishability lower bound,Pairwise orthogonal nonzero exact-correction sectors require at least as many distinguishable correction labels as sectors.,CONDITIONAL,CONDITIONAL,docs/theorem-candidates/capacity-theorems.md; tests/math/test_capacity.py,other,useful and mathematically promotable,open
OCP-018,ocp,Category-specific capacity view,OCP supports branch-specific correction-capacity notions even though a universal scalar capacity remains unsupported.,CONDITIONAL,CONDITIONAL,docs/theorem-candidates/capacity-theorems.md; docs/open-questions/viable-next-directions.md,capacity_quantification,useful and mathematically promotable,open
OCP-019,ocp,Exact sector recovery theorem,Pairwise orthogonal coordinate-compatible disturbance sectors admit an exact sector-conditioned recovery operator mapping each sector back to the protected space.,PROVED,PROVED,docs/theorem-candidates/sector-recovery-theorems.md; tests/math/test_sector_recovery.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-020,ocp,Finite-time exact recovery no-go for smooth linear flows,"If D is nontrivial, a finite-time linear flow e^{-tK} cannot satisfy Φ_t(s+d)=s for all s in S, d in D at any finite t>0.",PROVED,PROVED,docs/impossibility-results/advanced-no-go-results.md; tests/math/test_continuous_generators.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-021,ocp,Sector-overlap detection no-go,"If two candidate disturbance sectors overlap nontrivially, exact unique sector detection is impossible on the shared family.",PROVED,PROVED,docs/impossibility-results/advanced-no-go-results.md; tests/math/test_sector_recovery.py,other,already part of negative theory,repo-new only / scoped
OCP-022,ocp,Transverse gauge projection fit,"On projection-compatible domains, Coulomb-gauge or transverse-field projection is an exact protected-state correction fit by the same projector logic as the Helmholtz/Leray branch.",PROVED,PROVED,docs/physics/maxwell-coulomb-gauge.md; docs/mhd/divergence-cleaning-in-ocp.md,closure_obstruction,already part of positive theory,plausibly distinct (restricted)
OCP-023,ocp,Periodic projector transplant to bounded domains,The periodic exact projector can be reused unchanged as an exact bounded-domain correction operator preserving the bounded protected class.,DISPROVED,DISPROVED,docs/physics/bounded-domain-projection-limits.md; tests/examples/test_bounded_domain_projection_limit.py,closure_obstruction,dead end / collapse / duplicate / reformulation only,collapse
OCP-024,ocp,Constraint damping in additional physics systems,Constraint damping architectures in systems such as numerical relativity fit the asymptotic OCP branch when a protected/constraint-violation split and a stable correction generator are made explicit.,CONDITIONAL,CONDITIONAL,docs/physics/numerical-relativity-constraint-damping.md; docs/mhd/glm-and-asymptotic-correction.md,other,useful and mathematically promotable,open
OCP-025,ocp,Continuous quantum error correction bridge,Continuous quantum error correction and feedback architectures fit the asymptotic or measurement-conditioned OCP branches when syndrome information remains sufficiently distinguishable and feedback preserves the code sector.,CONDITIONAL,CONDITIONAL,docs/physics/continuous-quantum-error-correction.md; docs/qec/qec-in-ocp.md,other,useful and mathematically promotable,open
OCP-026,ocp,Generic constrained Hamiltonian fit,Generic constrained Hamiltonian systems automatically determine a nontrivial OCP correction architecture.,ANALOGY ONLY,ANALOGY ONLY,docs/physics/kept-vs-rejected-physics-bridges.md,other,useful but only as language,open
OCP-027,ocp,Periodic incompressible projection fit,Periodic incompressible velocity projection is an exact protected-state correction fit by the same Helmholtz/Hodge projector logic as the exact continuous branch.,PROVED,PROVED,docs/cfd/incompressible-projection.md; docs/theorem-candidates/cfd-projection-results.md; tests/math/test_cfd_projection.py,other,useful and mathematically promotable,plausibly distinct (restricted)
OCP-028,ocp,Divergence-only bounded recovery no-go,"On a nontrivial bounded incompressible protected class, any recovery map that factors only through the divergence scalar field cannot be an exact recovery operator.",PROVED,PROVED,docs/cfd/bounded-vs-periodic-projection.md; docs/theorem-candidates/cfd-projection-results.md; tests/math/test_cfd_projection.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-029,ocp,Bounded-domain projection classification,Bounded-domain incompressible projection belongs to the exact branch only when the correction step realizes the domain-compatible Hodge projector for the actual protected class and boundary data.,CONDITIONAL,CONDITIONAL,docs/cfd/helmholtz-hodge-velocity-projection.md; docs/cfd/cfd-system-matrix.md; docs/physics/bounded-domain-projection-limits.md,closure_obstruction,useful and mathematically promotable,open
OCP-030,ocp,Observation fiber exactness,"A protected variable is exactly recoverable from a constrained record map if and only if it is constant on the record fibers; equivalently κ_{M,p}(0)=0.",PROVED,PROVED,docs/theory/advanced-directions/constrained-observation-formalism.md; docs/theorem-candidates/constrained-observation-theorems.md; tests/math/test_recoverability.py,fiber_factorization,already part of positive theory,repo-new only / scoped
OCP-031,ocp,Restricted linear protected-variable recovery,"For x = Fz, M(x)=Ox, and p(x)=Lx on a finite-dimensional family, exact linear protected-variable recovery exists if and only if ker(O F) is contained in ker(L F).",PROVED,PROVED,docs/theory/advanced-directions/constrained-observation-formalism.md; docs/theorem-candidates/constrained-observation-theorems.md; tests/math/test_recoverability.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-032,ocp,Fixed-basis phase-loss no-go,"A fixed computational-basis record cannot exactly recover a phase-sensitive protected variable on a qubit family that contains the same amplitudes with varying phase, even though weaker protected variables such as the z coordinate remain recoverable.",PROVED,PROVED,docs/impossibility-results/constrained-observation-no-go.md; docs/theory/advanced-directions/constrained-observation-results-report.md; tests/math/test_recoverability.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-033,ocp,Periodic record classification,"On the tested periodic incompressible family, full vorticity is an exact protected-variable record, truncated vorticity is approximate only, and divergence-only observation is a no-go.",CONDITIONAL,CONDITIONAL,docs/theory/advanced-directions/constrained-observation-results-report.md; data/generated/recoverability/recoverability_summary.json; tests/math/test_recoverability.py,other,already part of negative theory,open
OCP-034,ocp,Finite-history versus asymptotic recovery split,"In the two-state scalar-output control toy model, one-step exact recovery fails, two-step protected-variable recovery is exact whenever ε(a-b) ≠ 0, and observer-based asymptotic recovery still converges from the ongoing record.",PROVED,PROVED,docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theory/advanced-directions/constrained-observation-results-report.md; tests/math/test_recoverability.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-035,ocp,Collapse-modulus noise lower bound,"For any estimator receiving records with adversarial observation error at most η, the worst-case protected-variable error is bounded below by κ_{M,p}(η)/2.",PROVED,PROVED,docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theorem-candidates/constrained-observation-theorems.md; tests/math/test_recoverability.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-036,ocp,Restricted observation rank lower bound,"On a finite-dimensional admissible linear family x=Fz with record OFz and protected variable LFz, exact protected-variable recovery implies rank(OF) >= rank(LF).",PROVED,PROVED,docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theorem-candidates/constrained-observation-theorems.md; tests/math/test_recoverability.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-037,ocp,Qubit phase-window collision law,"For the fixed-basis qubit record on the phase-window family φ ∈ [-w,w], the full Bloch-vector fiber ambiguity satisfies κ(0)=2 sin(min(w, π/2)); exact full recovery holds only at w=0, while weaker protected variables such as z remain exactly recoverable.",PROVED,PROVED,docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theory/advanced-directions/constrained-observation-results-report.md; tests/math/test_recoverability.py,fiber_factorization,already part of positive theory,repo-new only / scoped
OCP-038,ocp,Periodic cutoff threshold on the two-mode family,"For the tested two-mode periodic incompressible family, truncated-vorticity recovery is exact if and only if the Fourier cutoff retains both active modes, which first occurs at cutoff 2.",PROVED,PROVED,docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theory/advanced-directions/constrained-observation-results-report.md; tests/math/test_recoverability.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-039,ocp,Periodic functional-support threshold,"On the tested four-mode periodic incompressible modal family, exact recovery of a protected linear functional from truncated vorticity is possible if and only if the cutoff retains every Fourier mode used by that functional; the minimal exact cutoff therefore equals the largest protected mode cutoff.",PROVED,PROVED,docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theorem-candidates/constrained-observation-theorems.md; docs/theory/advanced-directions/constrained-observation-results-report.md; tests/math/test_recoverability.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-040,ocp,Nested linear minimal observation complexity,"For a nested finite-dimensional linear observation family x=Fz with records O_r F z and protected variable L F z, exact recovery turns on at the first level r for which row(L F) is contained in row(O_r F).",PROVED,PROVED,docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theorem-candidates/constrained-observation-theorems.md; tests/math/test_recoverability.py,other,useful and mathematically promotable,repo-new only / scoped
OCP-041,ocp,Same-record weaker-versus-stronger split,A fixed coarse record can exactly recover a weaker protected variable while exact recovery of a stronger protected variable remains impossible whenever the weaker protected row lies in the observation row space and the stronger one does not.,PROVED,PROVED,docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theory/advanced-directions/constrained-observation-clean-results.md; tests/math/test_recoverability.py,target_hierarchy,already part of negative theory,repo-new only / scoped
OCP-042,ocp,Diagonal functional interpolation threshold,"In the tested scalar-output diagonal family with distinct active eigenvalues, exact recovery of a protected linear functional g·x_0 is possible at horizon H if and only if g_j / c_j agrees on the active sensor spectrum with a polynomial of degree at most H-1, with hidden protected directions remaining impossible; the coordinate threshold is a special case.",PROVED,PROVED,docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theorem-candidates/constrained-observation-theorems.md; docs/theory/advanced-directions/constrained-observation-results-report.md; tests/math/test_recoverability.py,other,already part of negative theory,repo-new only / scoped
OCP-043,ocp,Nested restricted-linear collision-gap threshold law,"On the bounded coefficient family A_B = {F z : ||z||_∞ ≤ B}, the structured collision gap Γ_r(B) is monotone along nested record families, vanishes exactly at the first exact-recovery level, and yields a zero-noise lower bound Γ_r(B)/2 below threshold.",PROVED,PROVED,docs/theory/advanced-directions/constrained-observation-formalism.md; docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theorem-candidates/constrained-observation-theorems.md; tests/math/test_recoverability.py; tests/examples/test_generated_artifact_consistency.py,other,already part of negative theory,repo-new only / scoped
OCP-044,ocp,Boundary-compatible finite-mode Hodge projection,"On a bounded-domain family built from boundary-compatible divergence-free stream modes and Dirichlet gradient modes, the orthogonal projector onto the protected span is an exact bounded-domain correction operator.",PROVED,PROVED,docs/theorem-candidates/bounded-domain-hodge-theorems.md; docs/theorem-candidates/cfd-projection-results.md; tests/math/test_cfd_projection.py; tests/examples/test_generated_artifact_consistency.py,closure_obstruction,already part of positive theory,repo-new only / scoped
OCP-045,ocp,Restricted-linear minimal augmentation theorem,"For a restricted linear family x = F z with record O F z and protected variable L F z, the minimum number of unrestricted added linear measurements needed for exact recovery is δ(O, L; F) = rank([O F; L F]) - rank(O F).",PROVED,PROVED,docs/theorem-candidates/capacity-theorems.md; src/ocp/design.py; tests/math/test_design.py; tests/examples/test_design_examples_consistency.py,augmentation,already part of positive theory,plausibly distinct (restricted)
OCP-046,ocp,Restricted-linear exact-regime upper envelope,"If exact recovery holds on a restricted linear family and K satisfies K O F = L F, then κ_{M,p}(δ) ≤ ||K||_2 δ for Euclidean record and protected metrics.",PROVED,PROVED,docs/theory/advanced-directions/pvrt-theory-program.md; docs/theorem-candidates/pvrt-theorem-spine.md; docs/theory/advanced-directions/constrained-observation-derivations.md; tests/math/test_recoverability.py; tests/examples/test_generated_artifact_consistency.py,other,useful and mathematically promotable,plausibly distinct (restricted)
OCP-047,ocp,Same-rank observation insufficiency,"In the restricted-linear branch, same-rank record families can have opposite exact-recovery verdicts; observation amount alone does not determine exact protected-variable recoverability.",PROVED,PROVED,docs/theory/advanced-directions/pvrt-theory-program.md; docs/theorem-candidates/pvrt-theorem-spine.md; docs/theory/advanced-directions/pvrt-falsification-program.md; tests/math/test_recoverability.py,amount_no_go,useful and mathematically promotable,plausibly distinct (restricted)
OCP-048,ocp,Detectable-only through target coarsening,"If q = φ ∘ p, exact recoverability of p implies exact recoverability of q, while the converse can fail even on finite or restricted-linear families; exact recovery of such a nonconstant coarsening while p fails is the branch detectable-only regime.",PROVED,PROVED,docs/fiber-based-recoverability-and-impossibility/fiber-formalism-core.md; docs/fiber-based-recoverability-and-impossibility/fibers-and-detectability.md; src/ocp/fiber_limits.py; tests/math/test_unified_limits.py,target_hierarchy,already part of positive theory,plausibly distinct (restricted)
OCP-049,ocp,No rank-only exact classifier theorem,"For every n > r ≥ 1 and every r ≤ k < n, there exist restricted finite-dimensional linear recoverability problems with the same ambient dimension n, protected rank r, and observation rank k but opposite exactness verdicts, so no classifier depending only on (n, rank(LF), rank(OF)) can decide exact recoverability on all such families.",PROVED,PROVED,docs/fiber-based-recoverability-and-impossibility/restricted-linear-fiber-theory.md; docs/fiber-based-recoverability-and-impossibility/fibers-and-impossibility.md; src/ocp/fiber_limits.py; tests/math/test_unified_limits.py; data/generated/unified-recoverability/unified_recoverability_summary.json,amount_no_go,useful and mathematically promotable,plausibly distinct (restricted)
OCP-050,ocp,No fixed-library budget-only exact classifier theorem,"For every n > r ≥ 1 and every r ≤ k < n, there exists a common coordinate candidate library with unit measurement costs and two selections of the same size k and same total cost k that have opposite exact-recovery verdicts, so fixed-library budget/count alone cannot decide exact recoverability on all restricted finite-dimensional linear families.",PROVED,PROVED,docs/fiber-based-recoverability-and-impossibility/restricted-linear-fiber-theory.md; docs/fiber-based-recoverability-and-impossibility/fibers-and-impossibility.md; src/ocp/fiber_limits.py; tests/math/test_unified_limits.py; data/generated/unified-recoverability/candidate_library_budget_witnesses.csv,amount_no_go,useful and mathematically promotable,plausibly distinct (restricted)
OCP-051,ocp,Noisy weaker-versus-stronger separation theorem,"On a restricted linear family x = F z, if a weaker target W F z is exactly recoverable by K O F = W F while a stronger target S F z has positive collision gap Γ on the same bounded family, then bounded record noise ||e|| ≤ η yields a weak-target error upper bound ||K||_2 η while every decoder for the stronger target still has worst-case error at least Γ/2; in particular the weak upper bound stays strictly below the stronger impossibility floor for η < Γ/(2||K||_2).",PROVED,PROVED,docs/fiber-based-recoverability-and-impossibility/fibers-and-weaker-vs-stronger-targets.md; docs/fiber-based-recoverability-and-impossibility/restricted-linear-fiber-theory.md; src/ocp/fiber_limits.py; tests/math/test_unified_limits.py; data/generated/unified-recoverability/noisy_restricted_linear_hierarchy.csv,target_hierarchy,already part of negative theory,plausibly distinct (restricted)
OCP-052,ocp,Restricted-linear family-enlargement false-positive theorem,"Let F_s and F_l be restricted-linear admissible family bases with span(F_s) contained in span(F_l). If exact recovery holds on the smaller family but ker(O F_l) is not contained in ker(L F_l), then exact recovery fails on the enlarged family; moreover the enlarged-family collision gap Γ_l yields the lower bound Γ_l/2 for every decoder on the enlarged family, including any decoder exact on the smaller family.",PROVED,PROVED,docs/fiber-based-recoverability-and-impossibility/theorem-candidates.md; docs/fiber-based-recoverability-and-impossibility/false-positive-risk-report.md; docs/fiber-based-recoverability-and-impossibility/restricted-linear-fiber-theory.md; src/ocp/fiber_limits.py; tests/math/test_unified_limits.py; data/generated/unified-recoverability/family_enlargement_false_positive.csv,family_fragility,already part of negative theory,plausibly distinct (restricted)
OCP-053,ocp,Canonical model-mismatch instability theorem,"On the canonical restricted-linear family F_beta = span{e1, e2 + beta e3} with record M(x) = (x1, x2) and target p(x) = x3, each fixed beta yields exact target identifiability, but the decoder exact on F_beta0 incurs worst-case exact-data target error |beta - beta0| / sqrt(1 + beta^2) on the true family F_beta over the unit coefficient box. Thus exact identifiability of the true family does not imply robustness of a mismatched inverse map.",PROVED,PROVED,docs/fiber-based-recoverability-and-impossibility/theorem-candidates.md; docs/fiber-based-recoverability-and-impossibility/model-mismatch-stress-report.md; docs/fiber-based-recoverability-and-impossibility/final-inverse-observability-pass-report.md; src/ocp/fiber_limits.py; tests/math/test_unified_limits.py; data/generated/unified-recoverability/canonical_model_mismatch.csv,model_mismatch,already part of positive theory,plausibly distinct (restricted)
RDT-PARTITION,rdt,RDT exact partition hierarchy,RDT hierarchy provides exact partition structure and stable repartitioning under shard changes.,VALIDATED,VALIDATED,repos/rdt-project-showcase/docs/rdt_showcase_report.md,other,useful and mathematically promotable,repo-new only / scoped
META-SDS,sds,SDS theorem-core promotion,Two-reservoir SDS motif is theorem-core law.,ANALOGY ONLY,ANALOGY ONLY,internal_docs/unifying_theory_master_internal_report_2026-04-17.md,engineering_layer,useful but only as language,open
META-SELFORG,soliton,self-organization equivalence,Self-organization and correction are theorem-equivalent.,DISPROVED,DISPROVED,internal_docs/electron_program_comprehensive_internal_report_2026-04-17.md,other,dead end / collapse / duplicate / reformulation only,collapse
