anomaly_id,anomaly_type,descriptor_signature,evidence_cases,count,why_it_matters,status,notes
op_a_12,same_descriptor_opposite_invariant_verdict,n7|k3|m2|r4|b6,op_39;op_54;op_59;op_125;op_153;op_154;op_166;op_233;op_269;op_290,34,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_13,same_descriptor_opposite_invariant_verdict,n5|k4|m2|r2|b8,op_57;op_84;op_180;op_443;op_524;op_715;op_741;op_820;op_994,9,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_14,same_descriptor_opposite_invariant_verdict,n6|k2|m2|r2|b4,op_60;op_88;op_151;op_158;op_226;op_248;op_251;op_379;op_434;op_455,19,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_15,same_descriptor_opposite_invariant_verdict,n4|k2|m2|r3|b4,op_62;op_119;op_201;op_216;op_220;op_277;op_298;op_309;op_328;op_330,27,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_16,same_descriptor_opposite_invariant_verdict,n7|k5|m2|r2|b10,op_67;op_105;op_130;op_132;op_152;op_242;op_259;op_268;op_303;op_479,16,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_17,same_descriptor_opposite_invariant_verdict,n5|k3|m2|r2|b6,op_72;op_120;op_188;op_230;op_408;op_425;op_543;op_573;op_609;op_711,14,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_18,same_descriptor_opposite_invariant_verdict,n5|k5|m2|r2|b10,op_107;op_113;op_285;op_287;op_319;op_345;op_362;op_364;op_480;op_489,14,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_19,same_descriptor_opposite_invariant_verdict,n4|k5|m2|r2|b10,op_128;op_133;op_135;op_208;op_274;op_488;op_511;op_547;op_593;op_594,25,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_20,same_descriptor_opposite_invariant_verdict,n4|k4|m2|r2|b8,op_173;op_181;op_217;op_260;op_335;op_357;op_535;op_592;op_627;op_708,15,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_21,same_descriptor_opposite_invariant_verdict,n7|k4|m2|r2|b8,op_182;op_514;op_598;op_625;op_822;op_858;op_860;op_939;op_968,9,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_22,same_descriptor_opposite_invariant_verdict,n6|k4|m2|r2|b8,op_184;op_209;op_238;op_273;op_314;op_316;op_348;op_350;op_393;op_396,16,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_23,projection_succeeds_but_shared_decoder_fails,mixed,op_1;op_3;op_5;op_7;op_10;op_12;op_13;op_14;op_16;op_17;op_19;op_20;op_21;op_22;op_23;op_25;op_30;op_31;op_32;op_33,491,stack row-space inclusion is insufficient for context-invariant exactness,PROVED ON SUPPORTED FAMILY,supports conditioned-vs-invariant split
op_a_24,positive_augmentation_gain,mixed,op_1;op_3;op_7;op_10;op_13;op_16;op_17;op_19;op_21;op_31;op_36;op_39;op_41;op_45;op_51;op_52;op_54;op_56;op_59;op_61,267,minimal shared augmentation materially improves compatibility defect,PROVED ON SUPPORTED FAMILY,candidate augmentation operator is computationally useful
op_a_25,lift_conditioning_not_sufficient,mixed,op_26;op_563;op_133;op_824;op_152;op_660;op_616;op_770,8,numerical conditioning alone does not determine shared exactness,VALIDATED / EMPIRICAL ONLY,"conditioning is diagnostic, not classifier"
