anomaly_id,anomaly_type,descriptor_signature,evidence_families,count,status,notes
aop_14,same_descriptor_opposite_invariant_verdict,n6|p3|q3|k4|budget12|stackr3|targetr3,ao_pair_16_good;ao_pair_16_bad;ao_pair_46_good;ao_pair_46_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_15,same_descriptor_opposite_invariant_verdict,n6|p5|q3|k3|budget15|stackr5|targetr3,ao_pair_17_good;ao_pair_17_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_16,same_descriptor_opposite_invariant_verdict,n6|p4|q2|k3|budget12|stackr4|targetr2,ao_pair_19_good;ao_pair_19_bad;ao_pair_70_good;ao_pair_70_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_17,same_descriptor_opposite_invariant_verdict,n8|p5|q2|k4|budget20|stackr5|targetr2,ao_pair_20_good;ao_pair_20_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_18,same_descriptor_opposite_invariant_verdict,n8|p3|q2|k2|budget6|stackr3|targetr2,ao_pair_21_good;ao_pair_21_bad;ao_pair_37_good;ao_pair_37_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_19,same_descriptor_opposite_invariant_verdict,n7|p4|q3|k3|budget12|stackr4|targetr3,ao_pair_22_good;ao_pair_22_bad;ao_pair_26_good;ao_pair_26_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_20,same_descriptor_opposite_invariant_verdict,n6|p5|q3|k2|budget10|stackr5|targetr3,ao_pair_27_good;ao_pair_27_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_21,same_descriptor_opposite_invariant_verdict,n7|p4|q3|k2|budget8|stackr4|targetr3,ao_pair_28_good;ao_pair_28_bad;ao_pair_45_good;ao_pair_45_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_22,same_descriptor_opposite_invariant_verdict,n9|p3|q3|k4|budget12|stackr3|targetr3,ao_pair_29_good;ao_pair_29_bad;ao_extra_22,3,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_23,same_descriptor_opposite_invariant_verdict,n8|p5|q2|k3|budget15|stackr5|targetr2,ao_pair_30_good;ao_pair_30_bad;ao_pair_73_good;ao_pair_73_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_24,same_descriptor_opposite_invariant_verdict,n8|p3|q2|k3|budget9|stackr3|targetr2,ao_pair_31_good;ao_pair_31_bad;ao_pair_54_good;ao_pair_54_bad;ao_extra_25,5,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_25,same_descriptor_opposite_invariant_verdict,n7|p3|q3|k2|budget6|stackr3|targetr3,ao_pair_32_good;ao_pair_32_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_26,same_descriptor_opposite_invariant_verdict,n7|p5|q2|k3|budget15|stackr5|targetr2,ao_pair_33_good;ao_pair_33_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_27,same_descriptor_opposite_invariant_verdict,n6|p5|q2|k2|budget10|stackr5|targetr2,ao_pair_34_good;ao_pair_34_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_28,same_descriptor_opposite_invariant_verdict,n7|p3|q2|k3|budget9|stackr3|targetr2,ao_pair_35_good;ao_pair_35_bad;ao_pair_58_good;ao_pair_58_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_29,same_descriptor_opposite_invariant_verdict,n9|p4|q3|k3|budget12|stackr4|targetr3,ao_pair_36_good;ao_pair_36_bad;ao_pair_43_good;ao_pair_43_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_30,same_descriptor_opposite_invariant_verdict,n9|p3|q3|k3|budget9|stackr3|targetr3,ao_pair_39_good;ao_pair_39_bad;ao_pair_51_good;ao_pair_51_bad;ao_pair_60_good;ao_pair_60_bad,6,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_31,same_descriptor_opposite_invariant_verdict,n6|p4|q3|k2|budget8|stackr4|targetr3,ao_pair_40_good;ao_pair_40_bad;ao_pair_55_good;ao_pair_55_bad;ao_pair_64_good;ao_pair_64_bad,6,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_32,same_descriptor_opposite_invariant_verdict,n9|p3|q2|k2|budget6|stackr3|targetr2,ao_pair_41_good;ao_pair_41_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_33,same_descriptor_opposite_invariant_verdict,n8|p4|q3|k2|budget8|stackr4|targetr3,ao_pair_42_good;ao_pair_42_bad;ao_extra_57,3,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_34,same_descriptor_opposite_invariant_verdict,n8|p4|q2|k2|budget8|stackr4|targetr2,ao_pair_44_good;ao_pair_44_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_35,same_descriptor_opposite_invariant_verdict,n9|p3|q2|k3|budget9|stackr3|targetr2,ao_pair_47_good;ao_pair_47_bad;ao_pair_66_good;ao_pair_66_bad;ao_extra_86,5,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_36,same_descriptor_opposite_invariant_verdict,n9|p4|q3|k2|budget8|stackr4|targetr3,ao_pair_48_good;ao_pair_48_bad;ao_pair_59_good;ao_pair_59_bad;ao_pair_79_good;ao_pair_79_bad,6,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_37,same_descriptor_opposite_invariant_verdict,n7|p3|q3|k4|budget12|stackr3|targetr3,ao_pair_50_good;ao_pair_50_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_38,same_descriptor_opposite_invariant_verdict,n8|p4|q2|k4|budget16|stackr4|targetr2,ao_pair_52_good;ao_pair_52_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_39,same_descriptor_opposite_invariant_verdict,n8|p5|q3|k3|budget15|stackr5|targetr3,ao_pair_53_good;ao_pair_53_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_40,same_descriptor_opposite_invariant_verdict,n8|p3|q2|k4|budget12|stackr3|targetr2,ao_pair_62_good;ao_pair_62_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_41,same_descriptor_opposite_invariant_verdict,n9|p4|q3|k4|budget16|stackr4|targetr3,ao_pair_63_good;ao_pair_63_bad;ao_pair_67_good;ao_pair_67_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_42,same_descriptor_opposite_invariant_verdict,n6|p4|q3|k3|budget12|stackr4|targetr3,ao_pair_65_good;ao_pair_65_bad;ao_pair_72_good;ao_pair_72_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_43,same_descriptor_opposite_invariant_verdict,n7|p5|q3|k2|budget10|stackr5|targetr3,ao_pair_69_good;ao_pair_69_bad;ao_pair_78_good;ao_pair_78_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_44,same_descriptor_opposite_invariant_verdict,n9|p5|q2|k3|budget15|stackr5|targetr2,ao_pair_75_good;ao_pair_75_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_45,same_descriptor_opposite_invariant_verdict,n6|p5|q2|k4|budget20|stackr5|targetr2,ao_pair_76_good;ao_pair_76_bad;ao_pair_77_good;ao_pair_77_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_46,same_descriptor_opposite_invariant_verdict,n6|p3|q2|k4|budget12|stackr6|targetr2,ao_extra_1;ao_extra_2;ao_extra_29;ao_extra_76,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_47,same_descriptor_opposite_invariant_verdict,n8|p5|q3|k4|budget20|stackr8|targetr3,ao_extra_3;ao_extra_30;ao_extra_112,3,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_48,same_descriptor_opposite_invariant_verdict,n6|p5|q2|k3|budget15|stackr6|targetr2,ao_extra_7;ao_extra_68,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_49,same_descriptor_opposite_invariant_verdict,n6|p4|q2|k4|budget16|stackr6|targetr2,ao_extra_9;ao_extra_21;ao_extra_56,3,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_50,same_descriptor_opposite_invariant_verdict,n7|p4|q2|k3|budget12|stackr7|targetr2,ao_extra_14;ao_extra_34;ao_extra_78,3,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_51,same_descriptor_opposite_invariant_verdict,n7|p5|q2|k4|budget20|stackr7|targetr2,ao_extra_27;ao_extra_74;ao_extra_129,3,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_52,same_descriptor_opposite_invariant_verdict,n9|p5|q2|k3|budget15|stackr9|targetr2,ao_extra_38;ao_extra_46,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_53,same_descriptor_opposite_invariant_verdict,n6|p4|q2|k3|budget12|stackr6|targetr2,ao_extra_42;ao_extra_64;ao_extra_108,3,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_54,same_descriptor_opposite_invariant_verdict,n6|p4|q3|k3|budget12|stackr6|targetr3,ao_extra_62;ao_extra_110;ao_extra_118;ao_extra_139,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_55,same_descriptor_opposite_invariant_verdict,n8|p3|q2|k2|budget6|stackr4|targetr2,ao_extra_63;ao_extra_90,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_56,same_descriptor_opposite_invariant_verdict,n8|p5|q3|k3|budget15|stackr8|targetr3,ao_extra_83;ao_extra_116,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_57,same_descriptor_opposite_invariant_verdict,n9|p5|q2|k4|budget20|stackr9|targetr2,ao_extra_88;ao_extra_128;ao_extra_135;ao_extra_137,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_58,same_descriptor_opposite_invariant_verdict,n7|p4|q2|k4|budget16|stackr7|targetr2,ao_extra_91;ao_extra_106,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_59,candidate_library_defect_impossibility,n9|p3|q3|k2|budget6|stackr6|targetr3,ao_extra_12,1,PROVED ON SUPPORTED FAMILY,positive library defect forbids exact shared recovery for this candidate row library
aop_60,candidate_library_defect_impossibility,n6|p5|q3|k2|budget10|stackr2|targetr3,ao_extra_15,1,PROVED ON SUPPORTED FAMILY,positive library defect forbids exact shared recovery for this candidate row library
aop_61,candidate_library_defect_impossibility,n9|p5|q3|k2|budget10|stackr9|targetr3,ao_extra_16,1,PROVED ON SUPPORTED FAMILY,positive library defect forbids exact shared recovery for this candidate row library
aop_62,candidate_library_defect_impossibility,n9|p3|q3|k2|budget6|stackr6|targetr3,ao_extra_23,1,PROVED ON SUPPORTED FAMILY,positive library defect forbids exact shared recovery for this candidate row library
aop_63,candidate_library_defect_impossibility,n9|p5|q2|k2|budget10|stackr9|targetr2,ao_extra_24,1,PROVED ON SUPPORTED FAMILY,positive library defect forbids exact shared recovery for this candidate row library
aop_64,candidate_library_defect_impossibility,n8|p3|q2|k3|budget9|stackr3|targetr2,ao_extra_25,1,PROVED ON SUPPORTED FAMILY,positive library defect forbids exact shared recovery for this candidate row library
aop_65,candidate_library_defect_impossibility,n6|p3|q2|k2|budget6|stackr2|targetr2,ao_extra_33,1,PROVED ON SUPPORTED FAMILY,positive library defect forbids exact shared recovery for this candidate row library
aop_66,candidate_library_defect_impossibility,n8|p4|q3|k2|budget8|stackr4|targetr3,ao_extra_57,1,PROVED ON SUPPORTED FAMILY,positive library defect forbids exact shared recovery for this candidate row library
aop_67,candidate_library_defect_impossibility,n8|p5|q3|k2|budget10|stackr6|targetr3,ao_extra_71,1,PROVED ON SUPPORTED FAMILY,positive library defect forbids exact shared recovery for this candidate row library
aop_68,candidate_library_defect_impossibility,n9|p3|q2|k3|budget9|stackr3|targetr2,ao_extra_86,1,PROVED ON SUPPORTED FAMILY,positive library defect forbids exact shared recovery for this candidate row library
aop_69,candidate_library_defect_impossibility,n8|p3|q2|k2|budget6|stackr4|targetr2,ao_extra_90,1,PROVED ON SUPPORTED FAMILY,positive library defect forbids exact shared recovery for this candidate row library
aop_70,candidate_library_defect_impossibility,n6|p4|q3|k2|budget8|stackr2|targetr3,ao_extra_101,1,PROVED ON SUPPORTED FAMILY,positive library defect forbids exact shared recovery for this candidate row library
aop_71,candidate_library_defect_impossibility,n9|p3|q3|k2|budget6|stackr6|targetr3,ao_extra_107,1,PROVED ON SUPPORTED FAMILY,positive library defect forbids exact shared recovery for this candidate row library
aop_72,candidate_library_defect_impossibility,n9|p3|q3|k2|budget6|stackr6|targetr3,ao_extra_109,1,PROVED ON SUPPORTED FAMILY,positive library defect forbids exact shared recovery for this candidate row library
aop_73,library_gain_not_sufficient,n9|p3|q3|k2|budget6|stackr6|targetr3,ao_extra_12,1,PROVED ON SUPPORTED FAMILY,candidate rank gain can match free threshold and still fail due alignment defect
aop_74,library_gain_not_sufficient,n6|p5|q3|k2|budget10|stackr2|targetr3,ao_extra_15,1,PROVED ON SUPPORTED FAMILY,candidate rank gain can match free threshold and still fail due alignment defect
aop_75,library_gain_not_sufficient,n9|p5|q3|k2|budget10|stackr9|targetr3,ao_extra_16,1,PROVED ON SUPPORTED FAMILY,candidate rank gain can match free threshold and still fail due alignment defect
aop_76,library_gain_not_sufficient,n9|p3|q3|k2|budget6|stackr6|targetr3,ao_extra_23,1,PROVED ON SUPPORTED FAMILY,candidate rank gain can match free threshold and still fail due alignment defect
aop_77,library_gain_not_sufficient,n9|p5|q2|k2|budget10|stackr9|targetr2,ao_extra_24,1,PROVED ON SUPPORTED FAMILY,candidate rank gain can match free threshold and still fail due alignment defect
aop_78,library_gain_not_sufficient,n8|p3|q2|k3|budget9|stackr3|targetr2,ao_extra_25,1,PROVED ON SUPPORTED FAMILY,candidate rank gain can match free threshold and still fail due alignment defect
aop_79,library_gain_not_sufficient,n6|p3|q2|k2|budget6|stackr2|targetr2,ao_extra_33,1,PROVED ON SUPPORTED FAMILY,candidate rank gain can match free threshold and still fail due alignment defect
aop_80,library_gain_not_sufficient,n8|p4|q3|k2|budget8|stackr4|targetr3,ao_extra_57,1,PROVED ON SUPPORTED FAMILY,candidate rank gain can match free threshold and still fail due alignment defect
aop_81,library_gain_not_sufficient,n8|p5|q3|k2|budget10|stackr6|targetr3,ao_extra_71,1,PROVED ON SUPPORTED FAMILY,candidate rank gain can match free threshold and still fail due alignment defect
aop_82,library_gain_not_sufficient,n9|p3|q2|k3|budget9|stackr3|targetr2,ao_extra_86,1,PROVED ON SUPPORTED FAMILY,candidate rank gain can match free threshold and still fail due alignment defect
aop_83,library_gain_not_sufficient,n8|p3|q2|k2|budget6|stackr4|targetr2,ao_extra_90,1,PROVED ON SUPPORTED FAMILY,candidate rank gain can match free threshold and still fail due alignment defect
aop_84,library_gain_not_sufficient,n6|p4|q3|k2|budget8|stackr2|targetr3,ao_extra_101,1,PROVED ON SUPPORTED FAMILY,candidate rank gain can match free threshold and still fail due alignment defect
aop_85,library_gain_not_sufficient,n9|p3|q3|k2|budget6|stackr6|targetr3,ao_extra_107,1,PROVED ON SUPPORTED FAMILY,candidate rank gain can match free threshold and still fail due alignment defect
aop_86,library_gain_not_sufficient,n9|p3|q3|k2|budget6|stackr6|targetr3,ao_extra_109,1,PROVED ON SUPPORTED FAMILY,candidate rank gain can match free threshold and still fail due alignment defect
