claim_id,short_statement,branch,current_status_label,source_files,claim_kind,current_evidence_type,test_method_to_use,falsification_risk_level,final_verdict
OCP-018,Category-specific capacity view,K,CONDITIONAL,`docs/theorem-candidates/capacity-theorems.md; docs/open-questions/viable-next-directions.md`,theorem,"definitions, lower bounds, and examples across branches",meta-layer overlap and invariant reproducibility checks,High,CONDITIONAL
OCP-019,Exact sector recovery theorem,B,PROVED,`docs/theorem-candidates/sector-recovery-theorems.md; tests/math/test_sector_recovery.py`,theorem,"operator construction, proof sketch, and tests",sector overlap witness + basis-invariant checks,Medium,PROVED
OCP-020,Finite-time exact recovery no-go for smooth linear flows,E,PROVED,`docs/impossibility-results/advanced-no-go-results.md; tests/math/test_continuous_generators.py`,theorem,invertibility argument plus workbench and test examples,spectral decomposition + non-normal generator stress tests,Medium,PROVED
OCP-021,Sector-overlap detection no-go,B,PROVED,`docs/impossibility-results/advanced-no-go-results.md; tests/math/test_sector_recovery.py`,theorem,subspace contradiction proof and overlapping-sector test case,sector overlap witness + basis-invariant checks,Medium,PROVED
OCP-022,Transverse gauge projection fit,J,PROVED ON SUPPORTED FAMILY,`docs/physics/maxwell-coulomb-gauge.md; docs/mhd/divergence-cleaning-in-ocp.md`,bridge,direct corollary of the projection branch plus physics reinterpretation,bridge-scope check + theorem-vs-analogy separation,High,PROVED ON SUPPORTED FAMILY
OCP-023,Periodic projector transplant to bounded domains,D,DISPROVED,`docs/physics/bounded-domain-projection-limits.md; tests/examples/test_bounded_domain_projection_limit.py`,theorem,explicit boundary counterexample and tests,bounded-domain counterexample generation + boundary diagnostics,Low,DISPROVED
OCP-024,Constraint damping in additional physics systems,J,CONDITIONAL,`docs/physics/numerical-relativity-constraint-damping.md; docs/mhd/glm-and-asymptotic-correction.md`,theorem,cross-system operator comparison,bridge-scope check + theorem-vs-analogy separation,High,CONDITIONAL
OCP-025,Continuous quantum error correction bridge,J,CONDITIONAL,`docs/physics/continuous-quantum-error-correction.md; docs/qec/qec-in-ocp.md`,bridge,QEC/control literature comparison plus branch mapping,bridge-scope check + theorem-vs-analogy separation,High,CONDITIONAL
OCP-026,Generic constrained Hamiltonian fit,J,ANALOGY ONLY,`docs/physics/kept-vs-rejected-physics-bridges.md`,bridge,current repo lacks a canonical projector/recovery construction in that generality,bridge-scope check + theorem-vs-analogy separation,High,ANALOGY ONLY
OCP-027,Periodic incompressible projection fit,C,PROVED ON SUPPORTED FAMILY,`docs/cfd/incompressible-projection.md; docs/theorem-candidates/cfd-projection-results.md; tests/math/test_cfd_projection.py`,bridge,operator corollary plus executable periodic CFD tests,FFT/Helmholtz recomputation + idempotence tests,High,PROVED ON SUPPORTED FAMILY
OCP-028,Divergence-only bounded recovery no-go,D,PROVED,`docs/cfd/bounded-vs-periodic-projection.md; docs/theorem-candidates/cfd-projection-results.md; tests/math/test_cfd_projection.py`,theorem,elementary distinguishability argument plus bounded-state witness,bounded-domain counterexample generation + boundary diagnostics,Medium,PROVED
OCP-029,Bounded-domain projection classification,D,CONDITIONAL,`docs/cfd/helmholtz-hodge-velocity-projection.md; docs/cfd/cfd-system-matrix.md; docs/physics/bounded-domain-projection-limits.md`,theorem,classification statement tied to the bounded counterexample and Hodge-projector criterion,bounded-domain counterexample generation + boundary diagnostics,Medium,CONDITIONAL
OCP-030,Observation fiber exactness,F,PROVED,`docs/theory/advanced-directions/constrained-observation-formalism.md; docs/theorem-candidates/constrained-observation-theorems.md; tests/math/test_recoverability.py`,theorem,formal derivation plus branch tests,fiber/collision brute-force + threshold recomputation,Medium,PROVED
OCP-031,Restricted linear protected-variable recovery,F,PROVED,`docs/theory/advanced-directions/constrained-observation-formalism.md; docs/theorem-candidates/constrained-observation-theorems.md; tests/math/test_recoverability.py`,theorem,linear-algebra derivation and tests,fiber/collision brute-force + threshold recomputation,Medium,PROVED
OCP-032,Fixed-basis phase-loss no-go,F,PROVED,`docs/impossibility-results/constrained-observation-no-go.md; docs/theory/advanced-directions/constrained-observation-results-report.md; tests/math/test_recoverability.py`,theorem,toy-model derivation and computational sweep,fiber/collision brute-force + threshold recomputation,Medium,PROVED
OCP-033,Periodic record classification,F,CONDITIONAL,`docs/theory/advanced-directions/constrained-observation-results-report.md; data/generated/recoverability/recoverability_summary.json; tests/math/test_recoverability.py`,theorem,conventional computational benchmark with generated artifacts,fiber/collision brute-force + threshold recomputation,Medium,CONDITIONAL
OCP-034,Finite-history versus asymptotic recovery split,F,PROVED,`docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theory/advanced-directions/constrained-observation-results-report.md; tests/math/test_recoverability.py`,theorem,"model-specific derivation, explicit formula, and computational sweep",fiber/collision brute-force + threshold recomputation,Medium,PROVED
OCP-035,Collapse-modulus noise lower bound,F,PROVED,`docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theorem-candidates/constrained-observation-theorems.md; tests/math/test_recoverability.py`,theorem,metric derivation plus analytic benchmark and tests,fiber/collision brute-force + threshold recomputation,Medium,PROVED
OCP-036,Restricted observation rank lower bound,F,PROVED,`docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theorem-candidates/constrained-observation-theorems.md; tests/math/test_recoverability.py`,theorem,rank-nullity derivation and tests,fiber/collision brute-force + threshold recomputation,Medium,PROVED
OCP-037,Qubit phase-window collision law,F,PROVED,`docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theory/advanced-directions/constrained-observation-results-report.md; tests/math/test_recoverability.py`,theorem,closed-form derivation and numerical sweep,fiber/collision brute-force + threshold recomputation,Medium,PROVED
OCP-038,Periodic cutoff threshold on the two-mode family,F,PROVED,`docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theory/advanced-directions/constrained-observation-results-report.md; tests/math/test_recoverability.py`,theorem,family-level rank argument plus recovery-error sweep,fiber/collision brute-force + threshold recomputation,Medium,PROVED
OCP-039,Periodic functional-support threshold,F,PROVED,`docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theorem-candidates/constrained-observation-theorems.md; docs/theory/advanced-directions/constrained-observation-results-report.md; tests/math/test_recoverability.py`,theorem,"kernel-based derivation, row-space residual checks, discretization checks, and recovery sweeps",fiber/collision brute-force + threshold recomputation,Medium,PROVED
OCP-040,Nested linear minimal observation complexity,F,PROVED,`docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theorem-candidates/constrained-observation-theorems.md; tests/math/test_recoverability.py`,theorem,restricted-linear derivation plus independent periodic/control threshold checks,fiber/collision brute-force + threshold recomputation,Medium,PROVED
OCP-043,Nested restricted-linear collision-gap threshold law,F,PROVED,`docs/theory/advanced-directions/constrained-observation-formalism.md; docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theorem-candidates/constrained-observation-theorems.md; tests/math/test_recoverability.py; tests/examples/test_generated_artifact_consistency.py`,theorem,"restricted-linear derivation, independent nullspace-on-a-box checks, stress sweeps, and generated-artifact consistency tests",fiber/collision brute-force + threshold recomputation,Medium,PROVED
OCP-041,Same-record weaker-versus-stronger split,F,PROVED,`docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theory/advanced-directions/constrained-observation-clean-results.md; tests/math/test_recoverability.py`,theorem,row-space argument plus periodic/control counterexample families,fiber/collision brute-force + threshold recomputation,Medium,PROVED
OCP-042,Diagonal functional interpolation threshold,F,PROVED,`docs/theory/advanced-directions/constrained-observation-derivations.md; docs/theorem-candidates/constrained-observation-theorems.md; docs/theory/advanced-directions/constrained-observation-results-report.md; tests/math/test_recoverability.py`,theorem,"Vandermonde/interpolation derivation plus independent linear-recovery, nullspace, and sweep tests",fiber/collision brute-force + threshold recomputation,Medium,PROVED
OCP-044,Boundary-compatible finite-mode Hodge projection,D,PROVED ON SUPPORTED FAMILY,`docs/theorem-candidates/bounded-domain-hodge-theorems.md; docs/theorem-candidates/cfd-projection-results.md; tests/math/test_cfd_projection.py; tests/examples/test_generated_artifact_consistency.py`,theorem,integration-by-parts derivation plus independent discrete projector-construction checks and tests,bounded-domain counterexample generation + boundary diagnostics,Medium,PROVED ON SUPPORTED FAMILY
OCP-045,Restricted-linear minimal augmentation theorem,G,PROVED,`docs/theorem-candidates/capacity-theorems.md; src/ocp/design.py; tests/math/test_design.py; tests/examples/test_design_examples_consistency.py`,theorem,"row-space derivation, random stress tests, and design-artifact consistency checks",row-space/kernel automation + anti-classifier witness regeneration,Medium,PROVED
OCP-046,Restricted-linear exact-regime upper envelope,G,PROVED,`docs/theory/advanced-directions/pvrt-theory-program.md; docs/theorem-candidates/pvrt-theorem-spine.md; docs/theory/advanced-directions/constrained-observation-derivations.md; tests/math/test_recoverability.py; tests/examples/test_generated_artifact_consistency.py`,theorem,direct linear derivation plus exact-case computational checks and generated recoverability artifacts,row-space/kernel automation + anti-classifier witness regeneration,Medium,PROVED
OCP-047,Same-rank observation insufficiency,G,PROVED,`docs/theory/advanced-directions/pvrt-theory-program.md; docs/theorem-candidates/pvrt-theorem-spine.md; docs/theory/advanced-directions/pvrt-falsification-program.md; tests/math/test_recoverability.py`,theorem,explicit construction plus dimension-stress tests,row-space/kernel automation + anti-classifier witness regeneration,Medium,PROVED
OCP-048,Detectable-only through target coarsening,H,PROVED,`docs/fiber-based-recoverability-and-impossibility/fiber-formalism-core.md; docs/fiber-based-recoverability-and-impossibility/fibers-and-detectability.md; src/ocp/fiber_limits.py; tests/math/test_unified_limits.py`,theorem,factorization argument plus finite and restricted-linear witnesses,logical dependency audit + family-enlargement/mismatch stress,Medium,PROVED
OCP-049,No rank-only exact classifier theorem,H,PROVED,`docs/fiber-based-recoverability-and-impossibility/restricted-linear-fiber-theory.md; docs/fiber-based-recoverability-and-impossibility/fibers-and-impossibility.md; src/ocp/fiber_limits.py; tests/math/test_unified_limits.py; data/generated/unified-recoverability/unified_recoverability_summary.json`,theorem,"explicit witness construction, exhaustive small-dimension coordinate enumeration, and generated artifacts",logical dependency audit + family-enlargement/mismatch stress,Medium,PROVED
OCP-050,No fixed-library budget-only exact classifier theorem,H,PROVED,`docs/fiber-based-recoverability-and-impossibility/restricted-linear-fiber-theory.md; docs/fiber-based-recoverability-and-impossibility/fibers-and-impossibility.md; src/ocp/fiber_limits.py; tests/math/test_unified_limits.py; data/generated/unified-recoverability/candidate_library_budget_witnesses.csv`,theorem,"explicit fixed-library construction, exhaustive subset enumeration, and generated artifacts",logical dependency audit + family-enlargement/mismatch stress,Medium,PROVED
OCP-051,Noisy weaker-versus-stronger separation theorem,H,PROVED,`docs/fiber-based-recoverability-and-impossibility/fibers-and-weaker-vs-stronger-targets.md; docs/fiber-based-recoverability-and-impossibility/restricted-linear-fiber-theory.md; src/ocp/fiber_limits.py; tests/math/test_unified_limits.py; data/generated/unified-recoverability/noisy_restricted_linear_hierarchy.csv`,theorem,restricted-linear derivation plus brute-force noise-grid cross-checks and generated artifacts,logical dependency audit + family-enlargement/mismatch stress,Medium,PROVED
OCP-052,Restricted-linear family-enlargement false-positive theorem,H,PROVED,`docs/fiber-based-recoverability-and-impossibility/theorem-candidates.md; docs/fiber-based-recoverability-and-impossibility/false-positive-risk-report.md; docs/fiber-based-recoverability-and-impossibility/restricted-linear-fiber-theory.md; src/ocp/fiber_limits.py; tests/math/test_unified_limits.py; data/generated/unified-recoverability/family_enlargement_false_positive.csv`,theorem,"fiber-factorization argument plus collision-gap lower bound, explicit witness construction, generated artifacts, and branch tests",logical dependency audit + family-enlargement/mismatch stress,Medium,PROVED
OCP-053,Canonical model-mismatch instability theorem,H,PROVED,`docs/fiber-based-recoverability-and-impossibility/theorem-candidates.md; docs/fiber-based-recoverability-and-impossibility/model-mismatch-stress-report.md; docs/fiber-based-recoverability-and-impossibility/final-inverse-observability-pass-report.md; src/ocp/fiber_limits.py; tests/math/test_unified_limits.py; data/generated/unified-recoverability/canonical_model_mismatch.csv`,theorem,closed-form derivation plus brute-force equality checks and generated artifacts,logical dependency audit + family-enlargement/mismatch stress,Medium,PROVED
WB-001,Benchmark console module-health rows match validated workbench surfaces.,I,VALIDATED,docs/workbench/lib/engine/benchmarkConsole.js; tests/consistency/workbench_static.test.mjs,tool,node consistency tests + generated validation snapshot,workbench consistency tests + export/label checks,High,VALIDATED
META-001,Descriptor-fiber invariants (DFMI/IDELB/CL) quantify finite-class anti-classifier limits.,K,PROVED ON SUPPORTED FAMILY,docs/research-program/descriptor-fiber-anti-classifier-branch-overview.md; data/generated/descriptor-fiber-anti-classifier/meta_classifier_invariants.json,theorem,finite-class theorem + regenerated witness statistics,meta-layer overlap and invariant reproducibility checks,Medium,PROVED ON SUPPORTED FAMILY
